Country,Total_Consumption
Estonia,151.11
Lithuania,136.28
Czechia,127.26
"Cook Islands",124.84
Austria,119
France,118.65
Belarus,116.28
Luxembourg,113.6
Latvia,111.97
Ireland,111.16
Germany,110.69
Hungary,109.43
Bulgaria,106.86
Slovenia,105.51
Andorra,105.26
Poland,104.76
Croatia,104.56
Portugal,103.4
Slovakia,100.97
Romania,99.45
Cyprus,99.27
Belgium,98.87
Australia,98.73
"United Kingdom of Great Britain and Northern Ireland",97.15
Switzerland,95.87
Spain,95.83
Denmark,95.67
"Saint Lucia",94.93
"Antigua and Barbuda",94.45
Barbados,94.44
Montenegro,93.44
Bahamas,92.9
"New Zealand",91.4
Finland,88.53
"Russian Federation",88.3
"United States of America",88.12
"Netherlands (Kingdom of the)",85.58
"Saint Kitts and Nevis",85.53
Japan,85.32
Seychelles,84.39
"Republic of Korea",82.56
Canada,81.6
Argentina,81.1
Grenada,81
Dominica,79.34
"Equatorial Guinea",79.27
Niue,78.53
Serbia,78.29
Chile,77.06
Mongolia,76.92
Uganda,76.65
"Republic of Moldova",75.64
Gabon,75.24
Malta,74.39
"United Republic of Tanzania",73.61
Italy,73.4
"Saint Vincent and the Grenadines",73.1
Eswatini,72.65
Iceland,72.6
"South Africa",72.13
Sweden,72.06
Georgia,71.85
Greece,70.83
"Lao People's Democratic Republic",70.8
Angola,69.64
Ukraine,69.42
Thailand,67.96
Brazil,66.74
"Burkina Faso",64.64
Rwanda,64.5
Panama,64.3
Belize,63.65
Norway,61.58
Uruguay,60.07
Botswana,58.46
"Trinidad and Tobago",57.98
Suriname,56.79
Paraguay,56.28
Peru,55.18
Guyana,54.73
"Dominican Republic",54.64
Kyrgyzstan,54.16
China,53.68
"Venezuela (Bolivarian Republic of)",53.35
"Sao Tome and Principe",50.62
Cameroon,50.49
"Bosnia and Herzegovina",49.57
Congo,48.95
Philippines,47.34
"Cabo Verde",47.08
Nigeria,46.14
Cuba,45.23
Albania,44.69
Colombia,42.56
Burundi,41.65
Mexico,40.9
Armenia,39.52
Zimbabwe,37.19
Kazakhstan,36.96
"North Macedonia",36.49
Nicaragua,36.19
"Democratic People's Republic of Korea",35.89
Ecuador,35.27
Zambia,33.71
Cambodia,33.51
Liberia,32.8
"Costa Rica",32.36
Jamaica,32.28
"Sierra Leone",31.95
"Bolivia (Plurinational State of)",31.57
Guinea-Bissau,31.46
Turkmenistan,30.87
India,29.69
Nauru,29.28
Mauritius,29.21
"Viet Nam",28.96
Lesotho,28.82
Israel,28.57
Haiti,27.43
Gambia,26.8
Honduras,26.46
"Sri Lanka",26.42
"El Salvador",25.7
Fiji,25.66
Namibia,23.22
Uzbekistan,22.55
Samoa,21.84
"United Arab Emirates",19.68
Malawi,19.66
Singapore,18.47
Guatemala,17.67
"Micronesia (Federated States of)",17.52
Ghana,16.83
Kenya,15.88
Vanuatu,15.82
Bahrain,15.09
Myanmar,14.74
Tunisia,14.31
"Cote d'Ivoire",14.09
"Central African Republic",14.04
Benin,13.99
Maldives,13.5
Turkiye,13.28
Togo,12.78
Tuvalu,12.67
Lebanon,12.14
Mozambique,11.7
"Papua New Guinea",11.23
"Solomon Islands",10.83
Eritrea,10.23
Qatar,10.19
Madagascar,8.84
Tajikistan,8.11
Ethiopia,7.58
"Brunei Darussalam",6.91
Azerbaijan,6.61
"Democratic Republic of the Congo",6.6
Chad,6.08
Mali,6.05
Malaysia,5.83
Algeria,5.11
Oman,4.68
Kiribati,4.57
Morocco,4.48
Tonga,4.41
Timor-Leste,4.02
Jordan,3.32
Djibouti,3.3
Guinea,2.98
Nepal,2.86
"Syrian Arab Republic",2.72
Senegal,2.11
Egypt,1.67
Iraq,1.62
Bhutan,1.54
Comoros,1.54
Niger,1.18
Indonesia,0.84
Pakistan,0.34
Yemen,0.31
"Iran (Islamic Republic of)",0.21
Afghanistan,0.1
Libya,0.09
Bangladesh,0
Kuwait,0
Mauritania,0
"Saudi Arabia",0
Somalia,0
